iter	Passed	Remaining
463	761	879
464	762	877
465	764	875
466	765	873
467	766	871
468	767	869
469	768	867
470	770	865
471	771	862
472	772	860
473	773	858
474	775	856
475	776	854
476	777	852
477	778	850
478	779	848
479	781	846
480	782	844
481	783	842
482	784	840
483	786	838
484	787	836
485	789	834
486	790	832
487	791	830
488	793	828
489	794	826
490	795	824
491	796	822
492	798	821
493	800	819
494	801	817
495	802	815
496	803	813
497	805	811
498	806	809
499	807	807
500	808	805
501	809	803
502	811	801
503	812	799
504	813	797
505	815	795
506	816	793
507	817	791
508	818	789
509	819	787
510	821	785
511	822	783
512	823	781
513	824	779
514	826	778
515	827	776
516	828	774
517	829	772
518	831	770
519	832	768
520	833	766
521	834	764
522	835	762
523	837	760
524	838	758
525	839	756
526	840	754
527	842	752
528	843	750
529	844	748
530	845	746
531	846	745
532	848	743
533	849	741
534	850	739
535	851	737
536	852	735
537	854	733
538	855	731
539	856	729
540	857	727
541	859	725
542	860	723
543	861	722
544	862	720
545	863	718
546	865	716
547	866	714
548	867	712
549	868	710
550	870	709
551	871	707
552	872	705
553	874	703
554	875	702
555	876	700
556	878	698
557	879	696
558	880	694
559	881	692
560	883	691
561	884	689
562	885	687
563	887	685
564	888	683
565	889	682
566	890	680
567	891	678
568	893	676
569	894	674
570	895	672
571	896	670
572	897	669
573	899	667
574	900	665
575	901	663
576	902	661
577	904	660
578	905	658
579	906	656
580	907	654
581	908	652
582	910	650
583	911	649
584	913	647
585	914	645
586	915	644
587	916	642
588	918	640
589	919	638
590	920	637
591	921	635
592	923	633
593	924	631
594	925	629
595	926	628
596	927	626
597	929	624
598	930	622
599	931	621
600	932	619
601	934	617
602	935	615
603	936	614
604	937	612
605	938	610
606	940	608
607	941	606
608	942	605
609	943	603
610	945	601
611	946	599
612	947	598
613	948	596
614	949	594
615	951	592
616	952	591
617	953	589
618	954	587
619	956	585
620	957	584
621	958	582
622	959	580
623	960	579
624	962	577
625	963	575
626	964	573
627	965	572
628	967	570
629	968	568
630	969	566
631	970	565
632	971	563
633	973	561
634	974	559
635	975	558
636	976	556
637	977	554
638	978	553
639	980	551
640	981	549
641	982	548
642	984	546
643	985	544
644	986	542
645	987	541
646	989	539
647	990	538
648	992	536
649	993	535
650	995	533
651	996	532
652	998	530
653	999	528
654	1001	527
655	1003	526
656	1005	524
657	1006	523
658	1008	521
659	1009	520
660	1011	518
661	1012	517
662	1014	515
663	1016	514
664	1018	512
665	1019	511
666	1020	509
667	1022	508
668	1024	507
669	1026	505
670	1027	503
671	1028	502
672	1030	500
673	1031	498
674	1032	497
675	1034	495
676	1035	494
677	1037	492
678	1038	491
679	1040	489
680	1041	487
681	1042	486
